"category","result.status","protectionPolicy.name","result.error.code","host.name","asset.name","inventorySource.type","result.error.detailedDescription","result.error.reason","result.error.extendedReason","result.error.remediation"
"PROTECT","FAILED","Kubernetes Backups - TEST PLC","ABK0018","","demo-ns","KUBERNETES","The backup of this Kubernetes namespace was not successful because of a problem on the protection storage.","Unable to back up namespace 'demo-ns' in Kubernetes cluster 'Cluster-01' because of a protection storage issue.","Unable to setup backup.  Unable to create directory 'Kubernetes_Backups_-_TEST_PLC-ppdm-01-a2e89/PLCTLP-694fb9a3-e763-4352-8b08-e0b323f863f0/Stagings/e6e4041f-3e15-47bf-b03c-9128d568a63c/demo-ns/1731594892413651527':  [5005] No space left on device","Verify that the PowerProtect DD System is fully functional and that the DD Boost ports are open between the Kubernetes cluster and the PowerProtect DD System."
"PROTECT","FAILED","Kubernetes Backups - TEST PLC","ABK0018","","mongo","KUBERNETES","The backup of this Kubernetes namespace was not successful because of a problem on the protection storage.","Unable to back up namespace 'mongo' in Kubernetes cluster 'Cluster-01' because of a protection storage issue.","Unable to setup backup.  Unable to create directory 'Kubernetes_Backups_-_TEST_PLC-ppdm-01-a2e89/PLCTLP-694fb9a3-e763-4352-8b08-e0b323f863f0/Stagings/e6e4041f-3e15-47bf-b03c-9128d568a63c/mongo/1731594898615410508':  [5005] No space left on device","Verify that the PowerProtect DD System is fully functional and that the DD Boost ports are open between the Kubernetes cluster and the PowerProtect DD System."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","linux-03","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","sqlaag-01.demo.local","msdb","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset msdb on host sqlaag-01.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","sqlaag-01.demo.local","model","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset model on host sqlaag-01.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi01-7.demo.local","linux-03","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'linux-03' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501efedb-2483-f721-7018-f38280375d3a/1731594897900740675' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","LINUX-01","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'LINUX-01' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/5000aeb5-5fa2-2c47-8551-77cf41c35fbc/1731594900275472472' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","WIN-01","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'WIN-01' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/50006349-b0a4-eac9-cf56-45749ecec84b/1731594900218095259' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","RSA_Authentication_Manager.x86_64-8.7.0","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'RSA_Authentication_Manager.x86_64-8.7.0' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501f8827-9901-b519-d7a2-e964acb1c966/1731594900082186001' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi03-7.demo.local","WIN-02","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'WIN-02' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/50001429-b25c-d954-ca16-7f588e4224fc/1731594900393976106' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","RSA_Authentication_Manager.x86_64-8.7.0","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
